Date,Location,Operator,Aircraft_Type,Registration,Fatalities,Total_Onboard,Ground_Fatalities
1908-09-17,"Fort Myer, Virginia",Military - U.S. Army,Wright Flyer III,?,1,2,0
1909-09-07,"Juvisy-sur-Orge, France",?,Wright Byplane,SC1,1,1,0
1912-07-12,"Atlantic City, New Jersey",Military - U.S. Navy,Dirigible,?,5,5,0
1913-08-06,"Victoria, British Columbia, Canada",Private,Curtiss seaplane,?,1,1,0
1913-09-09,Over the North Sea,Military - German Navy,Zeppelin L-1 (airship),?,14,20,0
1913-10-17,"Near Johannisthal, Germany",Military - German Navy,Zeppelin L-2 (airship),?,28,28,0
1915-03-05,"Tienen, Belgium",Military - German Navy,Zeppelin L-8 (airship),?,17,41,0
1915-09-03,"Off Cuxhaven, Germany",Military - German Navy,Zeppelin L-10 (airship),?,19,19,0
1916-07-28,"Near Jambol, Bulgeria",Military - German Army,Schutte-Lanz S-L-10 (airship),?,20,20,0
1916-09-24,"Billericay, England",Military - German Navy,Zeppelin L-32 (airship),?,22,22,0
1916-10-01,"Potters Bar, England",Military - German Navy,Zeppelin L-31 (airship),?,19,19,0
1916-11-21,"Mainz, Germany",Military - German Army,Super Zeppelin (airship),?,27,28,0
1916-11-28,"Off West Hartlepool, England",Military - German Navy,Zeppelin L-34 (airship),?,20,20,0
1917-03-04,"Near Gent, Belgium",Military - German Army,Airship,?,20,20,0
1917-03-30,Off Northern Germany,Military - German Navy,Schutte-Lanz S-L-9 (airship),?,23,23,0
1917-05-14,"Near Texel Island, North Sea",Military - German Navy,Zeppelin L-22 (airship),?,21,21,0
1917-06-14,"Off Vlieland Island, North Sea",Military - German Navy,Zeppelin L-43 (airship),?,24,24,0
1917-06-17,"Near Yarmouth, England",?,Zepplin L-48 (air ship),L-48,14,16,0
1917-08-21,Off western Denmark,Military - German Navy,Zeppelin L-23 (airship),?,18,18,0
1917-10-20,"Near Luneville, France",Military - German Navy,Zeppelin L-44 (airship),?,18,18,0
1918-04-07,Over the Mediterranean,Military - German Navy,Zeppelin L-59 (airship),?,23,23,0
1918-08-05,"Off Helgoland Island, Germany",Military - German Navy,Zeppelin L-70 (airship),?,22,22,0
1918-08-11,"Ameland Island, North Sea",Military - German Navy,Zeppelin L-53 (airship),?,19,19,0
1918-12-16,"Elizabeth, New Jersey",US Aerial Mail Service,De Havilland DH-4,97,1,1,0
1919-05-25,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,61,1,1,0
1919-07-19,"Dix Run, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,82,1,1,0
1919-07-21,"Chicago, Illinois",Wingfoot Air Express Goodyear Tire,FD Type Dirigible,?,3,?,10
1919-08-02,"Verona, Italy",Caproni Company,Caproni Ca.48,?,14,14,0
1919-10-02,"Newcastle, England",Aircraft Transport and Travel,De Havilland DH-4,?,1,1,0
1919-10-14,"Cantonsville, Maryland",US Aerial Mail Service,Curtiss R-4LM,32,1,1,0
1919-10-20,"English Channel off Forkstone, Kent",Aircraft Transport and Travel,De Havilland DH-4,G-EAHG,0,0,0
1919-10-30,"Long Valley, New Jersey",US Aerial Mail Service,De Havilland DH.4,77,1,1,0
1919-12-11,"Catherham, Surrey, UK",Aircraft Travel Transport,de Havilland DH-4,G-EAHF,1,1,0
1920-03-10,"New Paris, Indiana",US Aerial Mail Service,De Havilland DH-4,65,1,1,0
1920-03-30,"Newark, New Jersey",US Aerial Mail Service,De Havilland DH-4,72,1,1,0
1920-04-10,"Newark, New Jersey",US Aerial Mail Service,Curtiss R-4LM,49,1,2,0
1920-04-11,"Heller Field, New Jersey",US Aerial Mail Service,Curtiss JN-4H,44,1,2,0
1920-05-12,"Oskaloosa, Iowa",US Aerial Mail Service,De Havilland DH-4,79,1,2,0
1920-06-06,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,204,1,1,0
1920-07-20,"Cartagena, Columbia",Compañia Colombiana de Navegación Aérea,Farman F-40,?,1,1,0
1920-08-16,"Bedford, England",By Air,Armstrong-Whitworth F-K-8,G-EALW,1,1,0
1920-08-16,"College Park, Maryland",US Aerial Mail Service,De Havilland DH-4,317,1,1,0
1920-09-01,"Morristown, New Jersey",US Aerial Mail Service,Junkers JL-6,305,2,2,0
1920-09-15,"Pemberville, Ohio",US Aerial Mail Service,Junkers F-13,308,2,2,0
1920-09-27,"Hillersburg, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,316,1,1,0
1920-10-02,"Off Port Vendres, France",Latecoere Airlines,Salmson 2-A-2,F-ALAI,2,2,0
1920-10-05,"Valencia, Spain",Latecoere Airlines,Breguet 14,F-ALTA,2,2,0
1920-10-15,"Batavia, Illinois",US Aerial Mail Service,De Havilland DH-4,76,1,1,0
1920-11-07,"Tie Siding, Wyoming",US Aerial Mail Service,De Havilland DH-4,?,1,1,0
1920-12-14,"London, England",Handley Page Transport,Handley Page HP-16,G-EAMA,4,8,0
1920-12-24,"Barcelona, Spain",Aeropostale,Breguet 14,F-ALBO,1,1,0
1921-02-03,"Mendotta, Minnisota",US Aerial Mail Service,De Havilland DH-4,130,1,1,0
1921-02-09,"La Crosse, Wisconsin",US Aerial Mail Service,Junkers F-13,301,3,3,0
1921-02-15,Off Gibraltar,Aeropostale,Breguet 14,F-ALBA,2,2,0
1921-02-22,"Elko, Nevada",US Aerial Mail Service,De Havilland DH-4,67,1,1,0
1921-04-06,"Point Cook, Australia",Military - Royal Australian Air Force,Avro 504,H3021,2,2,0
1921-04-21,"Mitchel Field, NY",US Aerial Mail Service,De Havilland DH-4,160,1,1,0
1921-04-29,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,196,1,1,0
1921-05-17,"Rock Springs, Wyoming",US Aerial Mail Service,De Havilland DH-4 DH-4,176,1,1,0
1921-08-14,"Toulouse, France",Aeropostale,Breguet 14,F-ALBI,2,2,0
1921-08-24,"River Humber, England",Military - Royal Airship Works,Royal Airship Works ZR-2 (airship),R-38,43,49,1
1921-09-06,"Paris, France",Franco-Roumaine,Potez IX,F-ADCD,5,5,0
1921-12-05,"Near Murchinson River, Australia",West Australian Airways,Bristol 28 Tourer,G-AUDI,2,2,0
1922-01-14,"Paris, France",Handley Page Transport,Handley Page O/10,G-EATN,5,5,5
1922-02-21,"Near Norfolk, Virginia",Military - U.S. Army Air Service,Dirigible Roma (airship),?,34,45,0
1922-03-22,North Atlantic Ocean,Aero Limited,Aeromarine Model 85 (flying boat),?,5,6,0
1922-04-07,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,de Havilland DH-18 / Farman F-60 Goliath,G-EAOW/FGEAD,7,7,0
1922-04-08,"Pao Ting Fou, China",?,?,?,17,17,0
1922-06-03,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,Bleriot Spad 27,F-ACMH,3,3,0
1922-07-04,"Fuhlsbuttel, Germany",?,LVG C VI,?,2,3,0
1922-07-16,"Near Saverne, Lorraine, France",Compagnie Franco-Roumaine de Navigaation Aerienne,Potez 29,F-FREI,5,5,0
1922-07-26,"Cadix, Spain",Grands Express Aeriens,Breguet 14,F-ALVE,3,3,0
1922-09-07,"Indianapolis, Indiana",US Aerial Mail Service,De Havilland DH-4,227,1,1,0
1922-10-02,"Venice, Italy",de Havilland Air Service,de Havilland DH-9,G-EAYT,4,4,0
1922-10-25,"Larache, Morocco",Grands Express Aeriens,Breguet 14,?,2,2,0
1922-12-03,"Fez, Morocco",Grands Express Aeriens,Breguet 14,F-ALNA,1,1,0
1923-01-10,"Ajaccio, France",Amee de l'Air,Lioré-et-Olivier H-13,F-AEIB,3,4,0
1923-01-17,"Barcelona, Spain",Grands Express Aeriens,Breguet 14,F-ALJU,1,1,0
1923-01-18,"Cheyenne, Wyoming",US Aerial Mail Service,De Havilland DH-4,223,1,1,0
1923-02-26,"Meadville, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,291,1,1,0
1923-05-14,"Near Amiens, Picrdie, France",Grands Express Aeriens (Air Union),Farman F-60 Goliath,F-AEBY,6,6,0
1923-08-27,"East Mallling, United Kingdom",Air Union,Farman F.60 Goliath,F-AECB,1,11,0
1923-08-27,"Bucharest, Romania",Campagnie France Roumaine,Blériot Spad 46,F-AEGN,2,2,0
1923-09-07,"Colton, Ohio",US Aerial Mail Service,De Havilland DH-4,283,1,1,0
1923-09-14,"Near Ivinghoe, Buckinghamshire, England",Daimler Airways,de Havilland DH-34,G-EBBS,5,5,0
1923-11-18,Russia,CCCP,Junkers F-13,D-257,3,5,0
1923-12-06,"Castalia, Ohio",US Aerial Mail Service,De Havilland DH-4,318,1,1,0
1923-12-23,Over the Mediterranean Sea,Military - French Navy,Zeppelin Dixmunde (airship),L-72,52,52,0
1923-12-24,"Egbert, WY",US Aerial Mail Service,De Havilland DH-4,315,1,1,0
1924-03-07,"Grampian, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,327,1,1,0
1924-04-24,Over the English Channel,KLM Royal Dutch Airlines,Fokker F.III,H-NABS,3,3,0
1924-06-08,"Barranquilla, Colombia",SCADTA,Junkers F-13,A16,5,5,0
1924-08-01,United States,US Aerial Mail Service,De Havilland DH-4,297,1,1,0
1924-11-06,"Cabrerolles, France",Grands Express Aeriens,Breguet 14,F-AFBD,1,1,0
1924-12-21,"Goshen, Indiana",US Aerial Mail Service,De Havilland DH-4,311,1,1,0
1924-12-24,"Purley, England",Imperial Airways,de Havilland DH-34B,G-EBBX,8,8,0
1925-03-22,"Near Tiflis, Georgia, USSR",Zakavia,Junkers F-13,R-RECA,5,5,0
1925-04-25,"Alicante, Spain",Grands Express Aeriens,Breguet 14,F-AFBB,3,3,0
1925-06-25,"Landrécies, France",KLM Royal Dutch Airlines,Fokker (KLM) F.III,H-NABM,4,4,0
1925-06-26,"Alicante, Spain",Grands Express Aeriens,Lioré-et-Olivier LeO H-13,F-FREM,2,2,0
1925-07-20,"Rosas, Spain",Lignes Aeriennes Latecoere,Breguet 14,F-AFBI,1,1,0
1925-07-24,"Budapest, Hungary",CIDNA,Potez IX,?,1,1,0
1925-09-03,"Caldwell, Ohio",Military - U.S. Navy,Dirigible ZR-1 Shenandoah (airship),ZR-1,14,43,0
1925-09-07,"Toul, France",CIDNA,Spad 33,?,?,?,?
1925-10-01,"Mt. Nittany, Ohio",US Aerial Mail Service,De Havilland DH-4,385,1,1,0
1925-11-14,"Nouadhibou, Mauritania",Lignes Aeriennes Latecoere,Breguet 14,F-AEGZ,1,1,0
1925-11-14,"Off Boulogne-sur-Mer, France",Air Union,Farman F-60 Goliath,F-FHMY,2,2,0
1926-02-12,"Montpelier, Ohio",US Aerial Mail Service,Curtiss Carrier Pigeon,602,1,1,0
1926-03-08,"Staaken, Germany",Deutche Lufthansa,Junkers F-13,D-290 D-290,1,1,0
1926-05-31,English Channel,Air Union,Breguet 14,F-ADAI,1,1,0
1926-07-03,"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation Aérienne,Caudron C-61,F-AFBT,6,6,0
1926-07-09,"Wolvertem, Belgium",KLM Royal Dutch Airlines,Fokker F7,H-NACC,2,2,0
1926-07-24,"Juist, Germany",Deutsche Lufthansa,Junkers F-13,D-272,5,5,0
1926-08-18,"Hurst, Kent, England",Air Union,Bleriot 155,F-AIEB,3,15,0
1926-09-26,"New York, York",?,Sikorsky S-25,?,2,5,0
1926-10-02,"Leigh, Kent, Unied Kingdom",Air Union,Bleriot 155,F- AICQ,7,7,0
1926-10-08,"Bueren, Germany",Deutsche Lufthansa,Fokker FG III,D-468,4,4,0
1926-10-21,English Channel,Imperial Airways,Handley Page W-10,G-EBMS,0,12,0
1926-11-11,"Cape Bojador, Morocco",Grands Express Aeriens,Breguet 14,F-AFAX,3,3,0
1926-12-16,"Medford, Oregon",Pacific Air Transport,Ryan M-1,2,1,1,0
1927-01-12,"Estaires, France",Fokker,Fokker F-VII,G-EBPL,0,0,0
1927-03-20,"Rabat, Morocco",Grands Express Aeriens,Breguet 14,F-ALRA,1,1,0
1927-03-24,"Tambo, Qld, Australia",Qantas,de Havilland DH-9C,G-AUED,3,3,0
1927-04-15,"King Hill, Idaho",Varney Air Lines,Swallow Swallow,?,1,1,0
1927-04-22,"Floh, Germany",Deutsche Lufthansa,Fokker FG III,D-729,2,2,0
1927-04-22,"Goshen, Indiana",US Aerial Mail Service,Douglas M-4,626,1,1,0
1927-05-02,"Algiers, Algeria",Air Union,SPCA Meteore 63,F-AIFN,1,3,0
1927-07-27,"Amoneburg, Germany",Deutsche Lufthansa,Junkers F-13,D-206,5,5,0
1927-08-22,"Sevenoaks, England",KLM Royal Dutch Airlines,Fokker F-VIII,H-NADU H-NADU,1,11,0
1927-09-03,"Willington, Connecticut",Colonial Air Transport,Fokker Universal,NC52 NC52,1,1,0
1927-09-17,"Hadley, New Jersey",Reynolds Airways,Fokker F-VII,NC776,7,12,0
1927-09-17,Atlantic Ocean,Private,Fokker F7,NX703,3,3,0
1927-09-23,"Schleiz, Germany",Deutsche Lufthansa,Dornier Merkur,D-585,6,6,0
1927-10-06,"Thies, Mauritania",Lignes Aeriennes Latecoere,Breguet 14,F-AGBN,2,2,0
1927-10-30,"New Brunswick, Jersey",Colonial Air Transport,Fairchild FC-2,?,4,4,0
1927-11-08,"Strasburg, France",CIDNA,Farman F-121 Jabiru,F-AIBR,1,1,0
1927-11-16,Over the Gulf of Finland,Aero O-Y,Junkers F-13,K-SALD,6,6,0
1927-11-29,"Corunna, Indiana",National Air Transport,Douglas M-4,NC62 NC1062,1,1,0
1927-12-28,"Almeria, Spain",Aeropostale,Breguet 14,F-AFGS,1,1,0
1927-12-31,"Near Marseille,France",Latecoere Airlines,Latécoère 23 (flying boat),F-AIHP,5,5,0
1928-01-08,"Near Canajoharie, New York",Colonial Western Airlines,Fairchild FC-2,NC3780,3,3,0
1928-01-16,"Solis, Uruguay",Aeropostale,Latecoere 25,F-AIKG,2,2,0
1928-01-22,"L'Hospitalet, Ariège",Aeropostale,Breguet 14,F-AHEQ,1,1,0
1928-01-22,"Tarragona, Spain",Aeropostale,Breguet 14,F-AHEQ,2,2,0
1928-01-27,"Almeria, Spain",Aeropostale,Breguet 14,F-AFHN,1,1,0
1928-02-26,"Marquette, Nebraska",Boeing Air Transport,Boeing 40,NC280,1,2,0
1928-03-11,"Off Cape Griz Nez, France",Air Union,Farman F-60 Goliath,F-AEFC,2,2,0
1928-04-17,"Federal, Wyoming",Boeing Air Transport,Boeing 40,NC282 NC282,1,2,0
1928-04-19,"Minuesa, Spain",Iberia Airlines,Rohrbach Roland,M-CCCC,9,9,0
1928-05-07,"Florianopolis, Brazil Brazil",Aeropostale,Latecoere 26,F-AIMQ,1,5,0
1928-05-12,"Dearborn, Minnesota",Ford Air Freight Inc.,Ford 4,NC1492,2,2,0
1928-05-26,"Radevormwald, Germany",Deutsche Lufthansa,Junkers F-13,D-583,3,5,0
1928-06-14,"Frankfurt, Germany",Deutsche Lufthansa,AEGK,D-74,5,5,0
1928-06-22,"Lebo, Kansas",National Air Transport,Douglas M-4,NC1059,1,1,0
1928-07-10,Over the Gulf of Finland,Aero O-Y,Junkers F-13,K-SALB,6,6,0
1928-07-13,"Purley, England",Imperial Airways,Vickers 74 Vulcan,G-EBLB,4,6,0
1928-07-24,"Waalhaven, Netherlands",KLM Royal Dutch Airlines,Fokker (KLM) F.III,H-NABR,1,6,0
1928-08-25,"Near Port Townsend, BC, Canada",British Columbia Airways,Ford 4-AT-B Tri Motor,G-CATX,7,7,0
1928-09-02,"Toul, France",CIDNA,Bleriot Spad 33,F-AIEP,5,5,0
1928-09-04,"Adelaide Hills, Australia",Qantas,de Havilland DH.50J,G-AUHI,1,2,0
1928-09-04,"Pocatello, Idaho",National Parks Airways,Fokker Super Universal,NC7242,7,7,0
1928-09-06,"Heroldbach, Germany",Deutsche Lufthansa,Fokker FG III,D-180,3,3,0
1928-10-04,"Gerona, Spain",Aeropostale,Breguet 14,F-AEEJ F-AEEJ,3,3,0
1928-10-18,"Polk, Pennsylvania",National Air Transport,Douglas M-4,NC1064,1,1,0
1928-10-31,"Valence, France",Air Union,Bleriot Spad 56,F-AIMN,1,2,0
1928-11-15,Off Gibraltar,Aeropostale,Latecoere 32,F-AISN,1,3,0
1928-11-24,"Edgerton, Ohio",Universal Airlines,Hamilton H-47,NC7521,3,3,0
1928-11-25,"Edgerton, Ohio",Continental Air Lines,Travel Air 4000,NC5436,1,1,0
1928-11-25,"Bristolville, Ohio",National Air Transport,Douglas M-4,NC792,1,1,0
1928-12-01,"Spur, Texas",Sunbeam Air Transport Co.,Ford 4-AT-B Tri Motor,NC7862,5,5,0
1928-12-03,"Near Rio de Janeiro,Brazil",Syndicato Condor,Dornier Wal,P-BACA,14,14,0
1928-12-10,"Spokan, Washington",Spokane Airways,Ford Tri-motor 4,NC7687,5,5,0
1928-12-11,"Letzlingen, Germany",Deutsche Lufthansa,Junkers G-31,D-1473,3,4,0
1928-12-20,"Huron, Ohio",National Air Transport,Douglas M-4,NC790,1,1,0
1928-12-23,"Chattanooga, Tennessee",Interstate Airlines,Fairchild FC-2,?,4,4,0
1928-12-31,"Reims, France",CIDNA,Blériot Spad 66,F-AEHX,2,3,0
1929-01-05,"Stafford Springs, Connecticut",Colonial Air Transport,Fairchild FC-2,NC5650,1,1,0
1929-01-18,"Cove, Oregon",Varney Air Lines,Stearman C-38,NC1682,1,1,0
1929-01-25,"Near Corfu, Greece",Aeroespresso,CMASA Wal,I-AZDA,2,9,0
1929-01-31,Off Morocco,Aeropostale,Latecoere 26,F-AIMU F-AIMU,2,2,0
1929-01-31,"Morgantown, West Virginia",Skyline Transportation Company,Travel Air 4000,NC6480,1,1,0
1929-03-17,"Newark, New Jersey",Colonial Western Airlines,Ford 5-AT-B Tri Motor,NC7683,14,15,0
1929-03-30,"Near Beaumont, California",New Standard Airlines,Fokker F-VIIA,NC7888,4,4,0
1929-04-21,"San Diego, California",Maddux Airlines / Military - U.S.Army Air Force,Ford 5-AT-B Tri-Motor / B-PW-9D,NC9636 28-037,6,6,0
1929-05-09,"Tampico, Mexico",Mexicana,Ford Tri-motor 4,M-SCAL,5,5,0
1929-05-18,"Tököl, Pest Hungary",MALERT,Fokker F-III,H-MABC,2,2,0
1929-05-22,Algiers,Aeropostale,Cams 53,F-AISX,4,6,0
1929-06-13,"Santiago de Cuba, Cuba",Pan American Airways,Fokker F-X,NC9700,2,5,0
1929-06-14,"Barcelona, Spain",Aeropostale,Breguet 14,F-AFEJ,1,2,0
1929-06-17,"Off Dungeness, England",Imperial Airways,Handley Page W-10,G-EBMT,7,13,0
1929-06-24,"St. Paul, Minnesota",Northwest Orient Airlines,Ford 5-AT-B Tri-Motor,NC7416,1,8,0
1929-06-29,"Near Lindau, Bavaria, Germany",Bodensee Aerolloyd,Domier Delphin III (flying boat),D-1620,5,5,0
1929-06-29,"Columbus, Ohio",Continental Air Lines,Travel Air 4000,NC5435,1,1,0
1929-08-11,"Clovis, New Mexico",Middle States Airlines,Lockheed 5 Vega,NC870E,4,4,0
1929-08-24,"Sochi, Russia",Ukvozduchput,Kalinin K-4,CCCP-217,1,1,0
1929-08-24,"Elm, Germany",Deutsche Lufthansa,Fokker FG II,D-757,4,5,0
1929-09-02,"Needles, California",Associated Aviators,Lockheed Vega,NR859E,1,2,0
1929-09-03,"Mt. Taylor, near Grants, New Mexico",Trans Continental Air Transport,Ford 5-AT-B Tri Motor,NC9649,8,8,0
1929-09-06,"Jask, Iran",Imperial Airways,de Havilland DH-66 Hercules,G-EBMZ,3,5,0
1929-09-14,North Atlantic Ocean,Aeropostale,Latecoere 25,F-AIUJ,6,6,0
1929-09-14,"Saint Catharines, Ontario",Skyways,Travel Air 6000,CF-ABE,6,6,0
1929-09-17,"Mt Lamentation, Connecticut",Colonial Air Transport,Pitcairn PA-6 Mailwing,?,1,1,0
1929-09-17,"Off Larache, Morocco",Aeropostale,Latecoere 25-3-R,F-AIUJ,5,5,0
1929-09-17,"Jacumba, California",Pickwick Airways,Fairchild 71,?,1,2,0
1929-10-26,"Off Spezia, Italy",Imperial Airways,Short Calcutta (flying boat),G-AADN,7,7,0
1929-10-29,"Mount Vernon, Ohio",Continental Air Lines,Stearman C-38,?,1,1,0
1929-10-31,"Off Bremerton, Washington",Bremerton-Seattle Air Taxi / Gorst Lines,Loening C-2C,NC9158,2,2,0
1929-11-04,"Cerro del Carbon, Mexico",Corp. Aeronautica de Transportes,Lockheed Vega 5,NC46M,4,4,0
1929-11-06,"Near Godstone, Surrey, England",Deutsche Lufthansa,Junkers G-24,D-903,7,8,0
1929-11-16,"Off Corsica, France",Air Union,Liore et Olivier 190,F-AIGB,3,3,0
1929-11-20,"Terranova Pausania, East Sardinia",S.A.M. Società Aerea Mediterranea,Savoia Marchetti S55,I-TACO,1,12,0
1929-11-30,"Vancouver, Washington",Varney Air Lines,Stearman M-2 Speedmail,NC8199,1,1,0
1929-12-02,"Chagrin Falls, Ohio",National Air Transport,Douglas M-3,NC789,1,1,0
1929-12-19,"Near Berlin, Germany",Deutsche Lufthansa,Arado V1,D-1594,2,3,0
1929-12-30,"Amarillo, Texas",Trans Continental Air Transport,Travel Air B6000,?,5,5,0
1930-01-02,"Off Venice, California",?,?,?,10,10,0
1930-01-10,"Brawnson, Nebraska",Boeing Air Transport,Boeing 95,NC184E,1,1,0
1930-01-13,"Antananarivo, Madagascar",Air Orient,Farman 190,F-AJJK,3,3,0
1930-01-19,"Oceanside, California",Maddux Airlines,Ford 5-AT-C Tri Motor,NC9689,16,16,0
1930-01-25,"Off Ceuta, Spain",Aeropostale,Latecoere 25,F-AJCL,2,2,0
1930-01-27,"Kansas City, Missouri",Central Airlines (Universal Aviation Corporation),Travel Air A6000A,?,5,5,0
1930-02-03,"Hartford, Connecticut",Colonial Air Transport,Pitcairn PA-6 Mailwing,NC801H,1,1,0
1930-02-10,"Marden, England",Air Union,Farman F-63,F-FHMY,2,6,0
1930-04-18,"Jersey City, New Jersey",Canadian Colonial Airways,Fairchild 71,NC9148,4,4,0
1930-05-10,"Buenos Aires, Argentina",Aeropostale,Latecoere 28,F-AJPD,3,4,0
1930-06-05,"Boston, Massachusetts",Colonial Air Transport,Ford Tri-Motor 5,NC9675,1,15,0
1930-07-07,"Bornholm, Denmark",Deutsche Lufthansa,Dornier Wal,D-864,5,8,0
1930-07-10,"Arkansas Pass, Texas",Cross Airways,Lockheed Vega 5,NC-394H,5,5,0
1930-07-21,"Near Meopham, Kent, England",Walcot Air Line,Junkers F-13ge,G-AAZK,6,6,0
1930-08-22,"Iglau, Czechoslovakia",Ceskoslovenske Aerolinie,Ford 5-AT-C Tri Motor,OK-FOR,10,11,0
1930-09-11,"Croydon, England",Sabena,Sabca F-VII,OO-AIN,2,2,0
1930-09-25,"Edmonton, Alberta, Canada",Western Canada Airways,Boeing 40,CF-AIN,3,3,0
1930-10-05,"Near Beauvais, France",Military - British Air Ministry,Royal Airship Works R-101,G-FAAW,48,54,0
1930-10-06,"Dresden, Germany",Deutsche Lufthansa,Messerschmitt M-20B,D-1930,8,8,0
1930-10-12,"La Rache, Morocco",Aeropostale,Latecoere 28,F-AJUU,4,4,0
1930-10-13,"Perth, Australia",Wings Ltd,de Havilland DH.80 Puss Moth,VH-UPC,3,3,?
1930-10-28,"Prince Rupert, BC, Canada",Alaska-Washington Airways,Lockheed Vega,NC103W,3,3,0
1930-10-30,"Brookston, Indiana",Embry Riddle Company,Pitcairn PA-6 Mailwing,?,1,1,0
1930-10-30,"Near Neufchatel, France",Imperial Airways,Handley Page W-8,G-EBIX,3,6,0
1930-11-07,"Off of Santos, Brazil",Syndicato Condor,Junkers G-24,P-BAHA,1,9,0
1930-11-18,"Techachapi Mountains, California",Pacific Air Transport,Boeing 40,NC5340,3,3,?
1930-12-09,"Shanghai, China",China National Aviation Corporation,Loening C-W Air Yaht,?,4,6,0
1931-01-08,"Melle, Belgium",Sabena,Fokker F-VII,OO-AIL,2,2,0
1931-01-22,"Bluff Mountain, Washington",Varney Air Lines,Boeing 40,NC741K,1,1,0
1931-02-08,"Wairoa, New Zealand",Dominion Air Lines,Desoutter II,ZK-ACA,3,3,0
1931-02-20,"Bagot, Manitoba, Canada",Western Canada Airways,Fokker Universal F-14,?,2,3,0
1931-02-24,Off Spain,Aeropostale,Latecoere 32,F-AITX,1,3,0
1931-03-21,"New South Wales, Australia",Australian National Airways,Avro 10,VH-UMF,8,8,0
1931-03-31,"Bazaar, Kansas",Trans Continental and Western Air,Fokker F10A Trimotor,NC-999,8,8,0
1931-04-14,"Near Letschen, Germany",Deutsche Lufthansa,Messerschmitt M-20,D-1928,2,10,0
1931-05-05,"Burbank, California",Pacific Air Transport,Boeing 40,NC5390,2,2,0
1931-05-22,"Wampit, Australia",Guiena Airways,Junkers W-34,VH-UNR,1,1,0
1931-05-24,"Bellefonte, Pennsylvania",National Air Transport,Boeing 95,NC397E,1,1,0
1931-06-07,"Near Sandoway, Burma",Air Orient,Fokker F-VIIB,PH-AEO,4,4,0
1931-06-11,"Walbridge, Ohio",Rubner Flying Service,Lockheed Vega 2,NC857E,2,3,0
1931-06-13,"Saarbrucken, Germany",Deutsche Lufthansa,Dornier Merkur,D-1455,4,4,0
1931-07-12,"Chicago, Illinois",Braniff Airlines,Lockheed Vega,NC8497,2,2,0
1931-07-14,"Temora, Australia",Australian Aerial Services,Lasco Lascowl,VH-UGF,2,2,0
1931-07-21,"Centralia, Illinois",American Airways,Pitcairn PA-6 Mailwing,?,1,1,0
1931-07-24,"Kurudjevo, Bulgaria",CIDNA,Fokker F-VII,F-ALGT,7,7,0
1931-08-09,"Cincinnati, Ohio",American Airways,Ford 5-AT-C Tri Motor,NC9662,6,6,0
1931-09-14,"Chicago, Illinois",Chicago-Detroit Airways,Lockheed Vega,NC606,1,1,0
1931-09-15,"Near Craiova, Oltenia, Romania",CIDNA,Fokker F-VIIb-3m,F-AIGT,6,6,0
1931-09-16,"Oakland, California",Pacific Air Transport,Boeing 40,NC10347,4,4,0
1931-10-06,"Novia Scotia, Canada",Deutsche Lufthansa,Heinkel HE-2,D-1717,3,3,0
1931-10-14,Brazil,Syndicato Condor,Dornier Wal,P-BALSA,3,3,0
1931-11-05,"Camden, New Jersey","NY, Phil., Washington AW",Lockheed Orion 9,NC12221,5,5,0
1931-11-13,"Sir Lowry's pass, South Africa",Union Airways,De Havilland DH.80,ZS-ACD,3,3,0
1931-11-23,"Salt Lake City, Utah",Boeing Air Transport,Boeing 40,NC7465,1,1,0
1931-11-24,"Near Tsinan, China",China National Aviation Corporation,Stinson,?,3,3,0
1931-11-26,"Pasco, Washington",Varney Air Lines,Boeing 40,NC10338,1,1,0
1931-12-05,"Kewanee, Illinois",Braniff Airways,Lockheed Vega 5,NC433E,2,6,0
1931-12-06,"Bangkok, Thailand",KLM Royal Dutch Airlines,Fokker F-VIIb-3M,PH-AFO,5,7,0
1931-12-09,Off Algiers,Aeropostale,CAMS 56,F-AIOX,2,2,0
1931-12-31,"Springfield, Ohio",American Airways,Fairchild Pilgrim 100A,?,4,5,0
1932-01-21,"Colvin Park, Ilinois",Northwest Airways,Stinson SM-2A,NC443H,1,1,0
1932-01-29,"Lebec, California",Century Pacific Lines,Stinson SM-6000B,NC10813,8,8,0
1932-02-01,"Off Miami, Florida",Bimini Airways,Fairchild,?,5,5,0
1932-02-02,"Rio Vista, California",Boeing Air Transport,Boeing 40,NC291,1,2,0
1932-02-02,"Marcellus, Michigan",Transamerican Airlines,Stearman C-3MB,NC6411,1,1,0
1932-02-27,"Off Setiba, Brazil",Aeropostale,Latecoere 28,F-AJOX,3,3,0
1932-03-08,"Saint Louis, Illinois",Century Air Lines,Stinson SM-6000B,NC11122,3,5,0
1932-03-19,"Calimesa, California",American Airways,Fokker F-10A,NC652E,7,7,0
