Date,Location,Operator,Aircraft_Type,Registration,Fatalities,Total_Onboard,Ground_Fatalities
1946-09-05,"Elko, Nevada",Trans-Luxury Airlines,Douglas DC-3 (C-47-A5-DL),NC57850,21,22,0
1946-09-07,"Bathurst, Gambia",British South American Airways,Avro 685 York I,G-AHEW,24,24,0
1946-09-07,"Nome, Alaska",Mt. McKinley Airfreight,Douglas C-47A,?,4,4,0
1946-09-15,"Estevan, Saskatchewan, Canada",Military - Royal Canadian Air Force,Douglas C-47A Dakota,962,21,21,0
1946-09-17,"Brussels, Belgium",Sabena,Douglas C-47-DL,OO-AUR,1,7,0
1946-09-18,"Near Gander, Newfoundland",Sabena,Douglas DC-4-1009,OO-CBG,27,44,0
1946-09-19,"Near Tripoli, Libya",Military -Royal Air Force,Avro Lancaster,NX690,25,25,0
1946-09-20,"Lochi Mountain, China",China National Aviation Corporation,Curtiss Wright C-46,?,28,28,0
1946-09-25,Near Hong Kong International Airport,Military - Royal Air Force,Douglas C-47B-25-DK,KN414,19,19,0
1946-09-27,"Near Milngavie, Stirlingshire, Scotland",Railway Air Service Ltd.,de Havilland 89A Dragon Rapide,G-AFFF,7,7,0
1946-09-27,"Rio Doce, Brazil",Panair do Brasil,Douglas DC-3A-228D,PP-PCH,25,25,0
1946-10-03,"Stephenville, Newfoundland",American Overseas Airlines,Douglas C-54E-5-DO,NC90904,39,39,0
1946-10-06,"Off Penang, Malaya",Military -Royal Air Force,Avro 685 York 1,MW125,21,21,0
1946-10-07,"Apeldoorn, The Netherlands",Military - Royal Netherlands Naval Air Service,Fairey Firefly MK1,PP526,1,1,22
1946-10-08,"Cheyenne, Wyoming",United Air Lines,Douglas DC-4,N30051,2,41,0
1946-10-10,"Near Sefrou, Morocco",Air Ocean,Junkers Ju-52/3m,F-BCAA,16,16,0
1946-10-17,"Laramie, Wyoming",National Air Transport Services,Douglas DC-3,NC38942,13,13,0
1946-10-17,"Near Chitral, India",Military - Royal Air Force,Douglas C-47B,KN236,11,11,0
1946-10-23,"Gebel Kalamoun, Egypt",Socotra,Junkers JU-52/3m,F-BCHD,1,24,0
1946-11-01,"St Leger-la-Montagne, France",CTA Languedoc Roussillon,AAC-1 Toucan,F-BCAD,23,27,0
1946-11-05,"Near Moscow, Russia",Aeroflot,Douglas C-47,SSSR-L946,13,26,?
1946-11-11,"Cleveland, Ohio",United Air Lines,Douglas DC-3 (C-53D-DO),N19947,2,20,0
1946-11-13,"Lebec, California",Western Airlines,Douglas C-53D-DO (DC-3),NC18645,11,11,0
1946-11-13,"Near Cofre de Perote, Mexico",Empressa Commun. Aéreas Veracruz,Douglas DC-3,XA-FOZ,15,15,0
1946-11-14,"Amsterdam, Netherlands",KLM Royal Dutch Airlines,Douglas C-47A-90 DL (DC-3),PH-TBW,26,26,0
1946-11-16,North Pacific Ocean,Military - U.S. Army Air Forces,Douglas C-47,?,23,23,0
1946-11-26,"San Jose, Costa Rica",Lineas Aéreas Costarricenses LACSA,Douglas DC-3 (C-47A-90-DL),RX-76,22,22,0
1946-11-30,"El Palomar, Argentina",Fuerza Aérea Argentina,Vickers 620 Viking 1,T-1,5,18,0
1946-12-04,"Meshed, Iran",Aeroflot,Lisunov Li-2,?,24,24,0
1946-12-10,"Near Osaka, Japan",Military - U.S. Army Air Forces,Curtiss-Wright C-46F-CU,44-78604,24,24,0
1946-12-10,"Toledo, Washington",Military - U.S. Marine Corps,Curtiss-Wright R5C-1,39528,32,32,0
1946-12-14,"Mt. Banahaur, Philippines",Far Eastern Air Transport,Douglas DC-3 (C-47-B-1-DK),PI-C-1,12,14,0
1946-12-17,"Caribbean, Atlantic Ocean",Winged Cargo Inc.,Douglas C-47A,NC88876,7,7,0
1946-12-23,"Near Rio de Janeiro, Brazil",FAMA (Argentina),Avro 685 York I,LV-XIG,21,21,0
1946-12-24,"Near San Diego, California",Western Airlines,Douglas DC-3 ( C-53D-DO),NC45395,12,12,0
1946-12-25,"Near Wusong, Jiangsu, China",CNAC,Curtiss C-47,?,13,34,3
1946-12-25,"Near Shanghai, China",CNAC,Douglas DC-3,?,20,30,0
1946-12-25,"Shanghai, China",CATA,Douglas C-47,?,11,11,5
1946-12-28,"Walshville, Illinois",Kansas City Southern Skyways,Douglas C-47A,NC58024,2,2,0
1946-12-28,"Near Shannon, Ireland",Trans Continental and Western Air,Lockheed 049 Consellation,NC86505,13,23,0
1946-12-28,"Michigan City, Indiana",American Airlines,Douglas DC-3 (C-50A-DO),N15577,2,21,0
1947-01-03,"Sao Paulo, Brazil",Panair do Brasil,Sikorsky S-43B (flying boat),PP-PBN,11,14,0
1947-01-05,"Tsingtao, China",China National Aviation Corporation,Curtis C-46,XT-T51,43,43,0
1947-01-05,"Carmel, New Jersey",Nationwide Air Transport,Douglas DC-3,N50046,3,23,0
1947-01-11,"Near Lympne, England",British Overseas Airways,Douglas C-47A-1-DK,G-AGJX,8,16,0
1947-01-11,"Off Laoag, China",Far Eastern Air Transport,Douglas DC-4 (C-54A-DO),PI-C100,7,42,0
1947-01-12,"Near Galax, Virginia",Eastern Air Lines,Douglas DC-3,NC88872,18,19,0
1947-01-14,"Near Puebla, Mexico",Military - Mexican Air Force,Lockheed C-60 Lodestar,60-03,21,21,0
1947-01-22,"Puesto Araujo, Colombia",AVIANCA,Douglas DC-3 ( C-47-DO),C-108,17,17,0
1947-01-25,"Croydon, Surrey, England",Spencer Airways / Ceskoslovenske Aerolinie,Douglas C-47 / DC-3,VP-YFD/OK-WDB,12,23,0
1947-01-25,"Chongqing, China",China National Aviation Corporation,Douglas DC-3,?,19,19,0
1947-01-25,Hong Kong,Philippine Air Lines,Douglas C-47A,PI-C12,4,4,0
1947-01-26,"Copenhagen, Denmark",KLM Royal Dutch Airlines,Douglas C- C47A-30DK,PH-TCR,22,22,0
1947-01-28,"Near Hankow, China",China National Aviation Corporation,Curtiss C-46,?,25,26,0
1947-02-01,"Near Lisbon, Portugal",Air France,Douglas DC-3C,F-BAXQ,19,20,0
1947-02-05,"Harrington, Delaware",International Air Freight,Douglas DC-3,NC54451,1,3,0
1947-02-06,"Pedro Bernardo, Spain",Aerovias Cuba International,Douglas C-54B-15-DO,NC44567,11,11,0
1947-02-14,"Denver, Colorado",Slick Airways,Curtiss C-46E,NC59486,2,2,0
1947-02-15,"Near Bogota, Colombia",AVIANCA,Douglas DC-4,C-114,53,53,0
1947-02-15,"Off Terracina, Italy",Military - Corrieri Aerei Militari,Savoia-Marchetti SM-95,I-ABQH,16,16,0
1947-02-21,"Chungking, China",Military - Chinese Air Force,Douglas C-47,?,21,21,0
1947-02-26,"China Sea, Pacific Ocean",Military - Royal Air Force,Douglas C-47B,KK120,12,12,0
1947-03-05,"Near Georgia, USSR",Aeroflot,Doublas C-47,CCCP-L952,23,23,0
1947-03-08,"L'isola di Ischia, Italy",Military - Royal Air Force,Douglas C-47B,KK122,13,13,0
1947-03-08,"Cordillera, Colombia",VIARCO,Douglas C-47-DL,C-400,9,9,0
1947-03-14,"Mt. Moucherolles, France",Air France,Douglas DC-3 (C-47A-90-DL),F-BAXO,23,23,0
1947-03-17,"Near Medellin, Colombia",TACA,Lockheed 18 Lodestar,YS-28,8,8,0
1947-03-18,"Negombo, Sri Lanka",Military - Royal Air Force,Avro York C1,MW198,11,15,0
1947-04-08,"Near Caracas, Venezuela",Linea Aeropostal Venezolana,Douglas C-47A,YV-C-ALO,27,27,0
1947-04-13,"Off Dakar, Senegal",British South American Airways,Avro 685 York I,G-AHEZ,6,15,0
1947-04-22,"Columbus, Georgia",Delta Air Lines,Douglas DC-3 (C-47DL) /Vultee BT-13,N49657 / N55312,10,10,0
1947-04-28,"Near Vancouver, British Columbia, Canada",Trans Canada Air Lines,Lockheed 18 Loadstar,CF-TDF,15,15,0
1947-05-04,"Near Nicoya, Guanacaste, Costa Rica",TACA,Lockheed 18 Loadstar,TI-84,11,11,0
1947-05-11,"Delaware Bay, New Jersey",Trans Continental and Western Air,Lockheed L-049 Constellation,NC86508,4,4,0
1947-05-16,"Near Khabarovsk, Russia",Aeroflot,Douglas DC-47,CCCP-L1048,22,22,0
1947-05-29,"La Guardia Airport, Queens, New York",United Air Lines,Douglas C-54B,NC30046,43,48,0
